Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Mathématiques Spécialité,Humanités, Littérature et Philosophie;Licence Sciences de gestion;36;14.0;1
2024;Mathématiques Spécialité,Physique-Chimie Spécialité;Licence Pluri Droit - Sciences éco - AES;89;14.0;0
2024;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;CPGE S;472;72.0;17
2024;Mathématiques Spécialité,Sciences Economiques et Sociales Spécialité;PASS;1033;350.0;104
2024;Mathématiques Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Mathématiques et informatique;25;2.0;0
2024;Mathématiques Spécialité,Sciences de la vie et de la Terre Spécialité;Licence Philosophie, Epistémologie;366;185.0;20
2024;Mathématiques Spécialité,Éducation physique, pratiques et culture sportives;CPGE L;6;2.0;1
2024;Numérique et Sciences Informatiques,Humanités, Littérature et Philosophie;Licence MASS;3;1.0;0
2024;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Formations des écoles nationales vétérinaires;0;0.0;0
2024;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Ecoles d'ingénieurs;109;41.0;27
2024;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;26;17.0;8
2024;Physique-Chimie Spécialité,Éducation physique, pratiques et culture sportives;Licence Sciences de la vie, biologie, santé;16;3.0;0
2024;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence AES;77;43.0;9
2024;Art,Humanités, Littérature et Philosophie;Autres formations;875;346.0;139
2024;Art,Mathématiques Spécialité;Licence Génie civil;24;11.0;5
2024;Art,Numérique et Sciences Informatiques;Licence Physique et chimie;4;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Art;Licence Mathématiques;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Histoire-Géographie, Géopolitique et Sciences politiques;DCG;0;0.0;0
2024;Littérature et langues et cultures de l'Antiquité,Humanités, Littérature et Philosophie;Licence Sciences économiques;5;1.0;0
