cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Saint-Paul,Lille,59,,,15.2,18e/51,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",Vernet,Valence,26,,,,,oui
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",WeiD Prépa,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,Panier large,Chartreux,Lyon,69,100,,98,,oui
ECG - Mathématiques approfondies + ESH,Panier large,St-Louis-de-Gonzague,Paris,75,97.6,,88.2,9e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Ampère,Lyon,69,94.7,,87.9,10e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,ND-du-Grandchamp,Versailles,78,94.4,,88.5,7e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,ND-des-Minimes,Lyon,69,94.1,,91.2,5e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Hoche,Versailles,78,91.7,,91.4,4e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Champollion,Grenoble,38,90,,88.5,7e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Henri-IV,Paris,75,90,,93.7,3e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Sainte-Marie,Lyon,69,90,,96.1,2e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,St-Michel-de-Picpus,Paris,75,89.5,,82.1,16e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Chateaubriand,Rennes,35,87.5,,85.1,12e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Stanislas,Cannes,06,85.7,,74.6,20e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Pierre-de-Fermat,Toulouse,31,85,,86.2,11e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Stanislas,Paris,75,83.3,,89.3,6e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Saint-Jean,Douai,59,82.1,,77.8,18e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Berthollet,Annecy,74,81.8,,67.7,26e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Janson-de-Sailly,Paris,75,81.8,,84.9,13e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Faidherbe,Lille,59,81.5,,71.8,23e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Kléber,Strasbourg,67,80,,69.7,24e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Le Parc,Lyon,69,79.5,,84.4,14e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Montaigne,Bordeaux,33,76.5,,76.1,19e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,St-Vincent-Providence,Rennes,35,73.7,,78,17e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Intégrale,Paris,75,73.3,,,,non
ECG - Mathématiques approfondies + ESH,Panier large,Marcelin-Berthelot,St-Maur-des-Fossés,94,72.7,,72.7,22e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Saint-Charles,Marseille,13,70.8,,58.4,31e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Montaigne,Paris,75,69.6,,68.6,25e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Ipesup,Paris,75,68.8,,,,non
ECG - Mathématiques approfondies + ESH,Panier large,Carnot,Paris,75,64.4,,62.9,28e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Carnot,Dijon,21,56.5,,56.1,32e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Henri-Poincaré,Nancy,54,52.9,,65.5,27e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Kerichen,Brest,29,52.6,,53.3,33e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Blaise-Pascal,Clermont-Ferrand,63,50,,50,34e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Charles-De-Gaulle,Caen,14,43.3,,48.4,35e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Ozenne,Toulouse,31,42.3,,59.7,30e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Saint-Just,Lyon,69,40,,61.8,29e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Ste-Marie-Gd-Lebrun,Bordeaux,33,30,,35.2,36e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Clemenceau,Reims,51,26.3,,34,37e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Alfred-Kastler,Cergy-Pontoise,95,25,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,La Prépa Autrement,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,Panier large,WeiD Prépa,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,Panier large,ND-de-Sainte-Croix,Neuilly-sur-Seine,92,,,72.9,21e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,Saint-Paul,Lille,59,,,82.6,15e/51,oui
ECG - Mathématiques approfondies + ESH,Panier large,St-Joseph-du-Loquidy,Nantes,44,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Gaston-Berger,Lille,59,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Marguerite-Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Alexandre-Dumas (ex-Florent-Schmitt),St-Cloud,92,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Claude-Fauriel,St-Etienne,42,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,La Nativité,Aix-en-Provence,13,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Vernet,Valence,26,,,,,oui
ECG - Mathématiques approfondies + ESH,Panier large,Aliénor d'Aquitaine,Poitiers,86,,,,,oui
