scraped_name,scraped_city,scraped_dept,matched_uai,matched_name,match_score
Saint-Sigisbert,Nancy,54.0,0541318P,Lycée Notre Dame Saint Sigisbert,90
St-François-Xavier,Vannes,56.0,0560114V,Lycée Saint François-Xavier,86
Fénelon-Ste-Marie,Paris,75.0,0753873C,Lycée Fénelon Sainte-Marie,86
René-Cassin,Bayonne,64.0,0640010N,Lycée René Cassin Bayonne-Biarritz,90
Blaise-Pascal,Orsay,91.0,0910626L,Lycée Blaise Pascal,95
Lazaristes,Lyon,69.0,0690522T,Lycée Aux Lazaristes,90
Aristide-Briand,Evreux,27.0,0270016W,Lycée Aristide Briand,95
Aristide-Briand,St-Nazaire,44.0,0440069L,LGT Aristide Briand,95
Assomption-Bellevue,Lyon,69.0,0690539L,Lycée Assomption Bellevue,95
Balzac,Paris,75.0,0750705J,Lycée Honoré De Balzac,90
Bellevue,Toulouse,31.0,0310038Y,Lycée BELLEVUE,90
Bertran-de-Born,Périgueux,24.0,0240024W,Lycée Bertran De Born,95
Brizeux,Quimper,29.0,0290069T,Lycée Auguste Brizeux,90
Buffon,Paris,75.0,0750693W,Lycée Buffon,90
Camille-Guérin,Poitiers,86.0,0860035W,Lycée Camille Guérin,95
Camille-Jullian,Bordeaux,33.0,0330023W,Lycée Camille Jullian,95
Charlemagne,Paris,75.0,0750652B,Lycée Charlemagne,95
Chrestien-de-Troyes,Troyes,10.0,0100022V,Lycée Chrestien de Troyes,95
CIV-Valbonne,Sophia-Antipolis,6.0,0061642C,Lycée International de Valbonne,86
Condorcet,Paris,75.0,0750667T,Lycée Condorcet,90
Corot,Savigny-sur-Orge,91.0,0910627M,Lycée Jean Baptiste Corot,90
Daudet,Nîmes,30.0,0300021K,Lycée Alphonse DAUDET,90
Déodat-de-Séverac,Toulouse,31.0,0310044E,Lycée Déodat de Séverac,95
Descartes,Montigny-le-Bretonneux,78.0,0781512V,Lycée Descartes,90
Dumont-d'Urville,Toulon,83.0,0830053G,Lycée Dumont d'Urville,95
Dupuy-de-Lôme,Lorient,56.0,0560025Y,Lycée Dupuy De Lôme,95
Edmont-Perrier,Tulle,19.0,,,0
Fénelon,Paris,75.0,0753873C,Lycée Fénelon Sainte-Marie,90
François-1er,Fontainebleau,77.0,,,0
François-1er,Le Havre,76.0,0760052U,Lycée François 1er,95
François-Arago,Perpignan,66.0,0660010C,Lycée François Arago,95
Franklin-Roosevelt,Reims,51.0,0510034K,Lycée Franklin Roosevelt,95
Gustave-Monod,Enghien-les-Bains,95.0,0952196W,LYCEE POLYVALENT GUSTAVE MONOD,90
Henri-Bergson,Angers,49.0,0491966W,Lycée général et technologique Henri Bergson,90
IPEST,Tunis,,1120002U,ESSCA School of Management - Budapest,80
Jacques-Decour,Paris,75.0,0750668U,Lycée Jacques Decour,95
Jean-Perrin,Lyon,69.0,0690082P,Lycée Jean Perrin,95
Jeanne-d'Albret,St-Germain-en-Laye,78.0,0782132U,Lycée Jeanne D'Albret,95
L'Empéri,Salon-de-Provence,13.0,0130160D,Lycée de L'Emperi,86
La Martinière-Monplaisir,Lyon,69.0,0692866R,Lycée La Martiniere Monplaisir,88
Lapérouse,Albi,81.0,,,0
Leconte-de-Lisle,St-Denis-de-La-Réunion,974.0,9740001H,Lycée Leconte de Lisle,95
Louis-Barthou,Pau,64.0,0640055M,Lycée Louis Barthou,95
Marceau,Chartres,28.0,0280007F,Lycée Marceau,90
Montesquieu,Le Mans,72.0,0720029R,Lycée Montesquieu,95
Pasteur,Neuilly-sur-Seine,92.0,0920142E,Lycée Louis Pasteur,90
Pierre-d'Ailly,Compiègne,60.0,0600014P,Lycée Pierre d'Ailly,95
Pierre-de-la-Ramée,St-Quentin,2.0,0020049T,Lycée Pierre de la Ramée,86
Pierre-Gilles-de-Gennes (ex-ENCPB),Paris,75.0,0750685M,Lycée Pierre-Gilles de Gennes - ENCPB,90
Prytanée National Militaire,La Flèche,72.0,0720896H,Lycée Militaire Prytanee National,85
Saint-Joseph,Avignon,84.0,0840072X,Lycée St Joseph,86
Saint-Stanislas,Nantes,44.0,0440163N,LGT Saint-Stanislas,95
Sainte-Marie,Antony,92.0,0920904H,Lycée Sainte Marie,95
Théophile-Gautier,Tarbes,65.0,0650025Z,Lycée Théophile Gautier,95
Turgot,Paris,75.0,0750647W,Lycée Turgot,90
Victor-Hugo,Besançon,25.0,0250007X,Lycée Victor Hugo,95
Victor-Hugo,Caen,14.0,0142059M,Lycée Victor Hugo,95
Wallon,Valenciennes,59.0,0590221V,Lycée Henri Wallon,90
Assomption,Rennes,35.0,0350778F,Lycée ASSOMPTION,90
Sainte-Anne,Brest,29.0,0290338K,Lycée Sainte Anne,95
Rabelais,St-Brieuc,22.0,0220056S,Lycée Francois Rabelais,90
Louis-Pasteur,Neuilly-sur-Seine,92.0,0920142E,Lycée Louis Pasteur,95
Jean-Baptiste-Say,Paris,75.0,0750700D,Lycée Jean-Baptiste Say,95
Jean-Perrin,Marseille,13.0,0130053M,Lycée Jean Perrin,95
La Fayette,Clermont-Ferrand,63.0,0630021F,Lycée La Fayette,90
Lalande,Bourg-en-Bresse,1.0,0010013J,Lycée Lalande,90
Vauban,Brest,29.0,0290012F,Lycée Vauban,90
Leconte-de-Lisle,St-Denis-de-La Réunion,974.0,9740001H,Lycée Leconte de Lisle,95
Robespierre,Arras,62.0,0620006V,Lycée Robespierre,95
Claude-Bernard,Paris,75.0,0750698B,Lycée Claude Bernard,95
Etienne-Mimard,St-Etienne,42.0,0420046X,Lycée Etienne Mimard,95
Jean-Bart,Dunkerque,59.0,0590071G,Lycée Jean Bart,90
Joliot Curie,Rennes,35.0,0350029S,Lycée Joliot-Curie,95
Les Eucalyptus,Nice,6.0,0060075Z,Lycée Les Eucalyptus,95
Gustave-Eiffel,Bordeaux,33.0,0330028B,Lycée Gustave Eiffel,95
César-Baggio,Lille,59.0,0590121L,Lycée Cesar Baggio,86
Paul-Valéry,Paris,75.0,0750679F,Lycée Paul Valery,86
Henri-Loritz,Nancy,54.0,0540042C,Lycée Henri Loritz,95
Abulcasis,Rabat,,,,0
Arsonval,St-Maur-des-Fossés,94.0,0940121W,Lycée D'Arsonval,90
Baimbridge,Pointe-à-Pitre,97.0,9710003B,,0
Camille-Vernet,Valence,26.0,0260035X,Lycée CAMILLE VERNET,95
Cormontaigne,Metz,57.0,0573227Y,Lycée Louis De Cormontaigne,90
Couffignal,Strasbourg,67.0,0670085D,Lycée Louis Couffignal,90
Errazi,El Jadida,,,,0
Frédéric-Mistral,Avignon,84.0,0840003X,Lycée Frédéric Mistral,95
Gustave-Eiffel,Dijon,21.0,0211033J,Lycée Gustave Eiffel,95
Ibn Al Ghazi,Rabat,,,,0
Ibn-Timiya,Marrakech,,,,0
Jean-Dautet,La Rochelle,17.0,0170028N,Lycée Jean Dautet,95
Jean-Jaurès,Argenteuil,95.0,0950641F,Lycée Jean Jaures,86
Jean-Jaurès - Condorcet,Montreuil,93.0,,,0
Jules-Ferry,Versailles,78.0,0782565P,Lycée Jules Ferry,95
Jules-Garnier,Nouméa,983.0,,,0
L'Essouriau,Les Ulis,91.0,0911492C,Lycée de l'Essouriau,90
La Résidence,Casablanca,,,,0
Laetitia-Bonaparte,Ajaccio,20.0,6200002H,Lycée Laetitia Bonaparte,95
Moissan,Meaux,77.0,0770930T,Lycée Henri Moissan,90
Vaugelas,Chambéry,73.0,0730013T,Lycée Vaugelas,90
Raspail,Paris,75.0,0750691U,Lycée Raspail,90
Parc-des-Loges,Evry,91.0,0911251R,Lycée du Parc des Loges,90
St-Joseph-Pierre-Rouge,Montpellier,34.0,0341521U,,0
Léon-Gontran-Damas,Cayenne,,,,0
Mohamed-V,Casablanca,,,,0
Moulay Idriss,Fès,,,,0
Moulay Youssef,Rabat,,,,0
Omar Ibn Al-Khattab,Méknès,,,,0
ORT,Strasbourg,67.0,0671636P,Lycée ORT STRASBOURG,90
